device_id,product,manager_id,emp_id
DEV0001,Galaxy Watch 5 Pro,SA0004,AD0002
DEV0002,Galaxy Watch Active,SA0008,EN0006
DEV0003,Galaxy Watch 4,SA0003,AR0005
DEV0004,Galaxy Watch 5,SA0010,QC0003
DEV0005,Galaxy Watch Active,SA0007,DS0005
DEV0006,Galaxy Watch 5,SA0009,AD0008
DEV0007,Galaxy Watch 5,SA0005,EN0010
DEV0008,Galaxy Fit 2,SA0004,CM0007
DEV0009,Galaxy Watch 3,SA0003,ME0006
DEV0010,Galaxy Watch 3,SA0010,LS0001
DEV0011,Galaxy Watch 3,SA0004,AR0002
DEV0012,Galaxy Fit 3,SA0003,DS0001
DEV0013,Galaxy Watch 4,SA0007,SA0006
DEV0014,Galaxy Watch 4,SA0005,AR0007
DEV0015,Galaxy Watch 4,SA0005,QC0007
DEV0016,Galaxy Watch Active 2,SA0009,CM0005
DEV0017,Galaxy Watch 5,SA0007,ME0007
DEV0018,Galaxy Watch 6,SA0010,AR0003
DEV0019,Galaxy Watch 6,SA0008,SA0005
DEV0020,Galaxy Watch 4,SA0010,AD0003
DEV0021,Gear S3,SA0009,DS0010
DEV0022,Galaxy Watch 3,SA0008,DS0008
DEV0023,Galaxy Watch 6,SA0004,QC0005
DEV0024,Galaxy Watch 5 Pro,SA0007,DS0002
DEV0025,Galaxy Fit 3,SA0006,QC0002
DEV0026,Galaxy Watch 5,SA0002,EN0008
DEV0027,Galaxy Fit 2,SA0005,DS0006
DEV0028,Galaxy Watch 4,SA0005,EN0002
DEV0029,Gear S3,SA0001,EL0009
DEV0030,Galaxy Watch 4,SA0004,LS0009
DEV0031,Galaxy Watch 6,SA0003,AR0004
DEV0032,Gear S3,SA0005,AR0008
DEV0033,Gear S3,SA0002,ME0001
DEV0034,Galaxy Watch 5,SA0010,LS0008
DEV0035,Gear S3,SA0002,LS0007
DEV0036,Galaxy Fit 2,SA0001,LS0004
DEV0037,Galaxy Watch 3,SA0010,SA0009
DEV0038,Galaxy Watch 5,SA0004,SA0001
DEV0039,Galaxy Watch 3,SA0003,LS0005
DEV0040,Galaxy Fit 3,SA0004,CM0009
DEV0041,Galaxy Watch 5 Pro,SA0008,EN0009
DEV0042,Galaxy Watch Active,SA0002,AD0009
DEV0043,Galaxy Watch Active 2,SA0004,CM0008
DEV0044,Galaxy Watch 5 Pro,SA0003,EN0004
DEV0045,Gear S3,SA0008,SA0008
DEV0046,Galaxy Watch 4,SA0001,ME0005
DEV0047,Galaxy Watch 6,SA0006,CM0010
DEV0048,Galaxy Fit 3,SA0003,SA0004
DEV0049,Galaxy Fit 2,SA0001,AD0005
DEV0050,Galaxy Watch Active,SA0004,EL0002
DEV0051,Galaxy Watch Active 2,SA0007,AD0006
DEV0052,Galaxy Watch 6,SA0009,EL0010
DEV0053,Galaxy Watch Active 2,SA0009,CM0003
DEV0054,Galaxy Watch 4,SA0004,DS0007
DEV0055,Galaxy Watch Active 2,SA0009,EL0007
DEV0056,Galaxy Fit 2,SA0006,DS0009
DEV0057,Galaxy Watch 5 Pro,SA0003,DS0003
DEV0058,Galaxy Watch 4,SA0005,QC0001
DEV0059,Galaxy Fit 2,SA0006,QC0010
DEV0060,Galaxy Watch 5,SA0009,LS0003
DEV0061,Galaxy Watch 4,SA0009,LS0006
DEV0062,Galaxy Watch Active,SA0009,SA0002
DEV0063,Galaxy Watch 6,SA0002,AD0007
DEV0064,Galaxy Watch Active 2,SA0004,QC0004
DEV0065,Galaxy Fit 2,SA0008,ME0009
DEV0066,Galaxy Watch Active 2,SA0007,ME0002
DEV0067,Galaxy Watch Active,SA0002,ME0010
DEV0068,Galaxy Fit 3,SA0010,EN0003
DEV0069,Galaxy Watch Active,SA0010,AR0010
DEV0070,Galaxy Watch 5,SA0005,CM0006
DEV0071,Galaxy Watch 5,SA0005,QC0006
DEV0072,Galaxy Watch Active 2,SA0009,EL0004
DEV0073,Galaxy Watch Active,SA0007,LS0010
DEV0074,Galaxy Fit 2,SA0006,QC0009
DEV0075,Galaxy Watch 6,SA0008,EL0003
DEV0076,Gear S3,SA0006,ME0004
DEV0077,Galaxy Watch 5 Pro,SA0006,SA0007
DEV0078,Galaxy Fit 2,SA0003,CM0001
DEV0079,Galaxy Fit 2,SA0005,EN0005
DEV0080,Galaxy Watch 6,SA0004,AR0006
DEV0081,Galaxy Fit 3,SA0007,SA0010
DEV0082,Galaxy Watch 5 Pro,SA0007,EN0007
DEV0083,Galaxy Watch Active,SA0006,EL0008
DEV0084,Galaxy Watch 4,SA0008,AR0009
DEV0085,Galaxy Fit 2,SA0005,QC0008
DEV0086,Galaxy Watch 4,SA0003,AR0001
DEV0087,Galaxy Watch Active 2,SA0003,AD0004
DEV0088,Galaxy Watch Active,SA0003,EL0006
DEV0089,Galaxy Watch Active 2,SA0010,AD0001
DEV0090,Galaxy Watch 6,SA0002,AD0010
DEV0091,Galaxy Watch 3,SA0003,EN0001
DEV0092,Galaxy Watch 3,SA0002,EL0001
DEV0093,Galaxy Fit 2,SA0009,ME0003
DEV0094,Galaxy Fit 3,SA0006,SA0003
DEV0095,Galaxy Watch 4,SA0004,LS0002
DEV0096,Galaxy Watch Active 2,SA0004,DS0004
DEV0097,Galaxy Watch Active,SA0006,EL0005
DEV0098,Galaxy Fit 3,SA0010,CM0004
DEV0099,Galaxy Watch 5,SA0008,CM0002
DEV0100,Galaxy Watch 3,SA0010,ME0008
