device_id,emp_id,check_in,check_out
DEV0076,ME0004,2025-05-28 08:35,2025-05-28 16:40
DEV0057,DS0003,2025-05-28 09:05,2025-05-28 16:55
DEV0074,QC0009,2025-05-28 08:40,2025-05-28 16:35
DEV0012,DS0001,2025-05-28 09:05,2025-05-28 17:25
DEV0092,EL0001,2025-05-28 08:55,2025-05-28 17:25
DEV0011,AR0002,2025-05-28 08:45,2025-05-28 17:10
DEV0028,EN0002,2025-05-28 09:00,2025-05-28 16:35
DEV0031,AR0004,2025-05-28 08:40,2025-05-28 16:15
DEV0047,CM0010,2025-05-28 08:50,2025-05-28 17:15
DEV0030,LS0009,2025-05-28 09:10,2025-05-28 16:30
DEV0053,CM0003,2025-05-28 08:45,2025-05-28 16:40
DEV0010,LS0001,2025-05-28 08:35,2025-05-28 17:15
DEV0032,AR0008,2025-05-28 09:05,2025-05-28 16:15
DEV0018,AR0003,2025-05-28 08:40,2025-05-28 16:25
DEV0033,ME0001,2025-05-28 09:05,2025-05-28 17:25
DEV0054,DS0007,2025-05-28 08:40,2025-05-28 17:10
DEV0095,LS0002,2025-05-28 08:30,2025-05-28 17:25
DEV0062,SA0002,2025-05-28 08:30,2025-05-28 17:15
DEV0059,QC0010,2025-05-28 08:40,2025-05-28 16:10
DEV0065,ME0009,2025-05-28 08:45,2025-05-28 17:30
DEV0077,SA0007,2025-05-28 08:45,2025-05-28 17:15
DEV0025,QC0002,2025-05-28 09:00,2025-05-28 17:00
DEV0039,LS0005,2025-05-28 08:30,2025-05-28 17:10
DEV0042,AD0009,2025-05-28 08:45,2025-05-28 16:10
DEV0066,ME0002,2025-05-28 08:30,2025-05-28 17:10
DEV0080,AR0006,2025-05-28 09:00,2025-05-28 16:50
DEV0044,EN0004,2025-05-28 08:30,2025-05-28 16:45
DEV0013,SA0006,2025-05-28 08:50,2025-05-28 16:50
DEV0068,EN0003,2025-05-28 09:10,2025-05-28 16:10
DEV0070,CM0006,2025-05-28 08:55,2025-05-28 16:20
DEV0046,ME0005,2025-05-28 09:10,2025-05-28 16:45
DEV0004,QC0003,2025-05-28 09:10,2025-05-28 16:40
DEV0075,EL0003,2025-05-28 08:50,2025-05-28 16:20
DEV0029,EL0009,2025-05-28 08:50,2025-05-28 16:55
DEV0040,CM0009,2025-05-28 08:40,2025-05-28 16:55
DEV0099,CM0002,2025-05-28 09:05,2025-05-28 17:25
DEV0098,CM0004,2025-05-28 09:05,2025-05-28 17:30
DEV0100,ME0008,2025-05-28 08:40,2025-05-28 17:20
DEV0051,AD0006,2025-05-28 08:55,2025-05-28 17:25
DEV0008,CM0007,2025-05-28 08:45,2025-05-28 17:15
DEV0009,ME0006,2025-05-28 08:55,2025-05-28 17:15
DEV0022,DS0008,2025-05-28 08:45,2025-05-28 17:05
DEV0090,AD0010,2025-05-28 08:50,2025-05-28 17:00
DEV0023,QC0005,2025-05-28 08:40,2025-05-28 17:25
DEV0016,CM0005,2025-05-28 08:35,2025-05-28 16:55
DEV0005,DS0005,2025-05-28 08:30,2025-05-28 17:30
DEV0096,DS0004,2025-05-28 08:30,2025-05-28 16:55
DEV0007,EN0010,2025-05-28 08:40,2025-05-28 17:30
DEV0091,EN0001,2025-05-28 09:05,2025-05-28 17:20
DEV0024,DS0002,2025-05-28 09:00,2025-05-28 17:25
DEV0036,LS0004,2025-05-28 09:00,2025-05-28 16:45
DEV0058,QC0001,2025-05-28 08:50,2025-05-28 16:25
DEV0019,SA0005,2025-05-28 08:40,2025-05-28 17:25
DEV0060,LS0003,2025-05-28 09:10,2025-05-28 16:30
DEV0093,ME0003,2025-05-28 08:55,2025-05-28 16:55
DEV0050,EL0002,2025-05-28 08:50,2025-05-28 16:15
DEV0086,AR0001,2025-05-28 09:00,2025-05-28 17:25
DEV0078,CM0001,2025-05-28 09:00,2025-05-28 16:25
DEV0067,ME0010,2025-05-28 08:55,2025-05-28 16:40
DEV0088,EL0006,2025-05-28 08:55,2025-05-28 17:25
DEV0069,AR0010,2025-05-28 08:50,2025-05-28 17:05
DEV0084,AR0009,2025-05-28 08:45,2025-05-28 17:00
DEV0026,EN0008,2025-05-28 08:40,2025-05-28 16:20
DEV0021,DS0010,2025-05-28 09:05,2025-05-28 17:25
DEV0052,EL0010,2025-05-28 08:55,2025-05-28 16:20
DEV0020,AD0003,2025-05-28 08:40,2025-05-28 16:10
DEV0003,AR0005,2025-05-28 08:30,2025-05-28 17:05
DEV0037,SA0009,2025-05-28 09:00,2025-05-28 16:50
DEV0002,EN0006,2025-05-28 09:05,2025-05-28 17:15
DEV0064,QC0004,2025-05-28 09:05,2025-05-28 17:10
DEV0085,QC0008,2025-05-28 09:10,2025-05-28 17:20
DEV0073,LS0010,2025-05-28 09:05,2025-05-28 16:25
DEV0071,QC0006,2025-05-28 09:10,2025-05-28 16:45
DEV0082,EN0007,2025-05-28 08:35,2025-05-28 17:10
DEV0063,AD0007,2025-05-28 08:55,2025-05-28 16:45
DEV0072,EL0004,2025-05-28 09:10,2025-05-28 16:25
DEV0034,LS0008,2025-05-28 09:00,2025-05-28 16:45
DEV0017,ME0007,2025-05-28 08:50,2025-05-28 17:15
DEV0045,SA0008,2025-05-28 08:35,2025-05-28 17:30
DEV0027,DS0006,2025-05-28 08:55,2025-05-28 17:05
